H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_OH(r)

 Bin no.        r             g(r)        std.
    562  16.79997     0.9969555     0.3043348E-01
    563  16.82997     0.9981101     0.3124809E-01
    564  16.85997     0.9982241     0.3064524E-01
    565  16.88997     0.9990260     0.3061508E-01
    566  16.91998     0.9977547     0.3215991E-01
    567  16.94998     0.9986927     0.3181238E-01
    568  16.97998     0.9984325     0.3182174E-01
    569  17.00998      1.000490     0.3191993E-01
    570  17.03998     0.9990621     0.3146290E-01
    571  17.06998     0.9999962     0.3263458E-01
    572  17.09998     0.9993456     0.3288113E-01
    573  17.12998     0.9997727     0.3231614E-01
    574  17.15998      1.001718     0.3397504E-01
    575  17.18998      1.000113     0.3343390E-01
    576  17.21998      1.000131     0.3350691E-01
    577  17.24998     0.9994907     0.3438485E-01
    578  17.27998      1.000658     0.3365424E-01
    579  17.30998      1.000960     0.3380268E-01
    580  17.33998      1.000661     0.3387842E-01
    581  17.36999      1.001732     0.3499992E-01
    582  17.39999      1.003010     0.3582966E-01
    583  17.42999      1.002319     0.3518337E-01
    584  17.45999      1.001797     0.3483776E-01
    585  17.48999      1.003178     0.3670238E-01
    586  17.51999      1.002692     0.3579138E-01
    587  17.54999      1.003254     0.3570134E-01
    588  17.57999      1.002051     0.3701932E-01
    589  17.60999      1.002115     0.3750718E-01
    590  17.63999      1.002720     0.3773059E-01
    591  17.66999      1.001173     0.3713185E-01
    592  17.69999      1.003933     0.3957338E-01
    593  17.72999      1.002428     0.3835883E-01
    594  17.75999      1.003550     0.3914633E-01
    595  17.79000      1.002971     0.3953420E-01
    596  17.82000     0.9999992     0.1544081E-02
    597 0.0000000E+00 0.0000000E+00 0.0000000E+00
