H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_HH(r)

 Bin no.        r             g(r)        std.
    460  13.73997      1.000644     0.2196180E-01
    461  13.76997      1.000549     0.2131447E-01
    462  13.79997      1.000344     0.2183114E-01
    463  13.82997     0.9999899     0.2136196E-01
    464  13.85997      1.000872     0.2200518E-01
    465  13.88997     0.9998124     0.2283335E-01
    466  13.91997      1.000172     0.2201331E-01
    467  13.94997     0.9999718     0.2269851E-01
    468  13.97997      1.000387     0.2110652E-01
    469  14.00997     0.9999940     0.2181475E-01
    470  14.03997     0.9995154     0.2201195E-01
    471  14.06997     0.9995632     0.2179425E-01
    472  14.09997     0.9991939     0.2217652E-01
    473  14.12997     0.9998026     0.2224897E-01
    474  14.15997     0.9996538     0.2260378E-01
    475  14.18997     0.9992502     0.2223691E-01
    476  14.21997     0.9993964     0.2241046E-01
    477  14.24997      1.000174     0.2204307E-01
    478  14.27997     0.9999455     0.2380089E-01
    479  14.30997     0.9990273     0.2275752E-01
    480  14.33997     0.9990332     0.2328057E-01
    481  14.36997     0.9992662     0.2262750E-01
    482  14.39997     0.9990966     0.2314834E-01
    483  14.42997     0.9987391     0.2304900E-01
    484  14.45997     0.9993783     0.2288289E-01
    485  14.48997     0.9991773     0.2295960E-01
    486  14.51997     0.9993054     0.2337766E-01
    487  14.54997     0.9989383     0.2289071E-01
    488  14.57997     0.9994999     0.2299851E-01
    489  14.60997      1.000087     0.2222618E-01
    490  14.63997     0.9987897     0.2298685E-01
    491  14.66996     0.9988872     0.2421427E-01
    492  14.69996     0.9992881     0.2360475E-01
    493  14.72996     0.9988290     0.2317022E-01
    494  14.75996     0.9993064     0.2212943E-01
    495  14.78996     0.9989868     0.2370177E-01
    496  14.81996     0.9986660     0.2423150E-01
    497  14.84996     0.9981273     0.2427573E-01
    498  14.87996     0.9986252     0.2410448E-01
    499  14.90996     0.9988149     0.2349719E-01
    500  14.93996     0.9983973     0.2410696E-01
    501  14.96996     0.9986682     0.2341205E-01
    502  14.99996     0.9988743     0.2360727E-01
    503  15.02996     0.9990777     0.2440185E-01
    504  15.05996     0.9987027     0.2418718E-01
    505  15.08996     0.9980598     0.2366024E-01
    506  15.11996     0.9985479     0.2453219E-01
    507  15.14996     0.9988533     0.2402522E-01
    508  15.17996     0.9986661     0.2486761E-01
    509  15.20996     0.9993324     0.2360349E-01
    510  15.23996     0.9987375     0.2431621E-01
    511  15.26996     0.9994390     0.2486042E-01
    512  15.29996     0.9987885     0.2442993E-01
    513  15.32996     0.9994628     0.2490354E-01
    514  15.35996     0.9988202     0.2504792E-01
    515  15.38996     0.9998705     0.2528948E-01
    516  15.41996     0.9999423     0.2552175E-01
    517  15.44996      1.000505     0.2512396E-01
